transaction_id,parent,parent_type,child,child_type,rel_type,date
2153-12_tr_01,Gotabaya Rajapaksa,citizen,Minister of Defence,cabinetMinister,AS_MINISTER,2019-12-10
2153-12_tr_02,Gotabaya Rajapaksa,citizen,"Minister of Finance, Economic and Policy Development",cabinetMinister,AS_MINISTER,2019-12-10
2153-12_tr_03,Gotabaya Rajapaksa,citizen,"Minister of Buddhasasana, Cultural and Religious Affairs",cabinetMinister,AS_MINISTER,2019-12-10
2153-12_tr_04,Gotabaya Rajapaksa,citizen,"Minister of Urban Development, Water Supply and Housing Facilities",cabinetMinister,AS_MINISTER,2019-12-10
2153-12_tr_05,Gotabaya Rajapaksa,citizen,"Minister of Justice, Human Rights & Law Reforms",cabinetMinister,AS_MINISTER,2019-12-10
2153-12_tr_06,Gotabaya Rajapaksa,citizen,Minister of Community Empowerment and Estate Infrastructure Development,cabinetMinister,AS_MINISTER,2019-12-10
2153-12_tr_07,Gotabaya Rajapaksa,citizen,Minister of Foreign Relations,cabinetMinister,AS_MINISTER,2019-12-10
2153-12_tr_08,Gotabaya Rajapaksa,citizen,"Minister of Skills Development, Employment and Labour Relations",cabinetMinister,AS_MINISTER,2019-12-10
2153-12_tr_09,Gotabaya Rajapaksa,citizen,Minister of Fisheries & Aquatic Resources,cabinetMinister,AS_MINISTER,2019-12-10
2153-12_tr_10,Gotabaya Rajapaksa,citizen,Minister of Women & Child Affairs and Social Security,cabinetMinister,AS_MINISTER,2019-12-10
2153-12_tr_11,Gotabaya Rajapaksa,citizen,Minister of Healthcare and Indigenous Medical Services,cabinetMinister,AS_MINISTER,2019-12-10
2153-12_tr_12,Gotabaya Rajapaksa,citizen,Minister of Information and Communication Technology,cabinetMinister,AS_MINISTER,2019-12-10
2153-12_tr_13,Gotabaya Rajapaksa,citizen,"Minister of Higher Education, Technology and Innovation",cabinetMinister,AS_MINISTER,2019-12-10
2153-12_tr_14,Gotabaya Rajapaksa,citizen,"Minister of Public Administration, Home Affairs, Provincial Councils & Local Government",cabinetMinister,AS_MINISTER,2019-12-10
2153-12_tr_15,Gotabaya Rajapaksa,citizen,"Minister of Mahaweli, Agriculture, Irrigation and Rural Development",cabinetMinister,AS_MINISTER,2019-12-10
2153-12_tr_16,Gotabaya Rajapaksa,citizen,"Minister of Internal Trade, Food Security and Consumer Welfare",cabinetMinister,AS_MINISTER,2019-12-10
2153-12_tr_17,Gotabaya Rajapaksa,citizen,Minister of Education,cabinetMinister,AS_MINISTER,2019-12-10
2153-12_tr_18,Gotabaya Rajapaksa,citizen,Minister of Sports and Youth Affairs,cabinetMinister,AS_MINISTER,2019-12-10
2153-12_tr_19,Gotabaya Rajapaksa,citizen,Minister of Roads and Highways,cabinetMinister,AS_MINISTER,2019-12-10
2153-12_tr_20,Gotabaya Rajapaksa,citizen,Minister of Ports and Shipping,cabinetMinister,AS_MINISTER,2019-12-10
2153-12_tr_21,Gotabaya Rajapaksa,citizen,Minister of Small & Medium Business and Enterprise Development,cabinetMinister,AS_MINISTER,2019-12-10
2153-12_tr_22,Gotabaya Rajapaksa,citizen,Minister of Industries and Supply Chain Management,cabinetMinister,AS_MINISTER,2019-12-10
2153-12_tr_23,Gotabaya Rajapaksa,citizen,Minister of Transport Services Management,cabinetMinister,AS_MINISTER,2019-12-10
2153-12_tr_24,Gotabaya Rajapaksa,citizen,Minister of Power & Energy,cabinetMinister,AS_MINISTER,2019-12-10
2153-12_tr_25,Gotabaya Rajapaksa,citizen,Minister of Environment and Wildlife Resources,cabinetMinister,AS_MINISTER,2019-12-10
2153-12_tr_26,Gotabaya Rajapaksa,citizen,Minister of Lands & Land Development,cabinetMinister,AS_MINISTER,2019-12-10
2153-12_tr_27,Gotabaya Rajapaksa,citizen,Minister of Plantation Industries and Export Agriculture,cabinetMinister,AS_MINISTER,2019-12-10
2153-12_tr_28,Gotabaya Rajapaksa,citizen,Minister of Industrial Export and Investment Promotion,cabinetMinister,AS_MINISTER,2019-12-10
2153-12_tr_29,Gotabaya Rajapaksa,citizen,Minister of Tourism and Civil Aviation,cabinetMinister,AS_MINISTER,2019-12-10
